Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-0.885579,-0.881888,1.95567,2.32091,321
-0.88458,-0.882225,1.95577,2.32074,322
-0.884241,-0.882292,1.9558,2.32066,323
-0.883249,-0.88224,1.95584,2.3203,324
-0.882237,-0.881902,1.95583,2.31978,325
-0.881308,-0.881353,1.95577,2.31917,326
-0.880914,-0.879716,1.95621,2.31877,327
-0.880848,-0.878856,1.95607,2.31829,328
-0.880957,-0.877805,1.95588,2.31777,329
-0.881195,-0.876838,1.95569,2.31734,330
-0.88136,-0.875868,1.9555,2.31688,331
-0.881431,-0.875427,1.95542,2.31667,332
-0.881769,-0.874486,1.95524,2.31629,333
-0.881907,-0.874248,1.95519,2.31621,334
-0.882545,-0.873513,1.95503,2.31604,335
-0.883331,-0.872939,1.95489,2.31601,336
-0.884108,-0.872657,1.95482,2.31614,337
-0.88506,-0.872552,1.95474,2.3164,338
-0.885698,-0.872566,1.95471,2.31662,339
-0.886458,-0.8727,1.95468,2.31694,340
-0.887315,-0.873154,1.95473,2.31747,341
-0.887616,-0.873404,1.95476,2.31771,342
-0.888352,-0.874132,1.95485,2.31834,343
-0.888669,-0.874487,1.9549,2.31864,344
-0.88924,-0.875271,1.95503,2.31926,345
-0.8896,-0.8762,1.95516,2.31987,346
-0.889653,-0.876994,1.9553,2.3203,347
-0.889382,-0.878037,1.95549,2.32076,348
-0.888934,-0.87901,1.95569,2.32112,349
-0.888372,-0.879824,1.95587,2.32136,350
-0.88771,-0.880572,1.95604,2.32153,351
-0.886863,-0.881245,1.95619,2.32159,352
-0.886137,-0.881691,1.9563,2.32158,353
-0.885667,-0.881907,1.95637,2.32154,354
-0.884714,-0.882172,1.95646,2.32136,355
-0.884291,-0.882213,1.95649,2.32124,356
-0.88331,-0.882081,1.95652,2.32083,357
-0.882984,-0.881992,1.95652,2.32068,358
-0.882274,-0.881688,1.9565,2.32027,359
-0.881468,-0.881169,1.95644,2.31972,360
-0.881063,-0.879645,1.95691,2.31938,361
-0.880979,-0.878717,1.95675,2.31886,362
-0.881091,-0.877661,1.95655,2.31834,363
-0.881287,-0.876739,1.95637,2.31792,364
-0.881401,-0.87574,1.95619,2.31742,365
-0.88152,-0.874765,1.95601,2.31695,366
-0.881864,-0.874019,1.95587,2.31668,367
-0.882473,-0.873258,1.9557,2.31648,368
-0.883233,-0.872649,1.95556,2.31642,369
-0.884015,-0.872253,1.95544,2.31647,370
-0.885033,-0.872116,1.95536,2.31674,371
-0.885742,-0.872141,1.95533,2.317,372
-0.886724,-0.872291,1.95531,2.31741,373
-0.887491,-0.872674,1.95535,2.31788,374
-0.887861,-0.872957,1.95538,2.31816,375
-0.888569,-0.873692,1.95548,2.31879,376
-0.888974,-0.874127,1.95553,2.31916,377
-0.889538,-0.874901,1.95565,2.31976,378
-0.889907,-0.87587,1.9558,2.3204,379
-0.890007,-0.8768,1.95596,2.32092,380
-0.88972,-0.877852,1.95616,2.32138,381
